,0
0,8.633333333333333
1,8.56
2,8.366666666666667
3,8.713333333333333
4,8.653333333333334
5,8.533333333333333
6,8.633333333333333
7,8.366666666666667
8,8.706666666666667
9,8.700000000000001
10,8.56
11,8.553333333333333
12,8.713333333333333
13,8.786666666666667
14,8.579999999999998
15,8.753333333333332
16,8.659999999999998
17,8.433333333333332
18,8.62
19,8.526666666666666
20,8.433333333333332
21,8.6
22,8.486666666666666
23,8.6
24,8.74
25,8.386666666666665
26,8.64
27,8.74
28,8.613333333333333
29,8.746666666666668
30,8.68
31,8.700000000000001
32,8.673333333333332
33,8.453333333333333
34,8.406666666666666
35,8.64
36,8.4
37,8.646666666666667
38,8.626666666666667
39,8.706666666666669
40,8.766666666666666
41,8.773333333333333
42,8.446666666666667
43,8.38
44,8.766666666666667
45,8.76
46,8.72
47,8.52
48,8.633333333333335
49,8.473333333333331
50,8.646666666666667
51,8.673333333333334
52,8.58
53,8.393333333333333
54,8.426666666666668
55,8.64
56,8.56
57,8.613333333333335
58,8.713333333333333
59,8.673333333333334
60,8.646666666666667
61,8.786666666666667
62,8.62
63,8.74
64,8.813333333333333
65,8.493333333333332
66,8.633333333333333
67,8.72
68,8.726666666666667
69,8.566666666666668
70,8.700000000000001
71,8.273333333333333
72,8.64
73,8.513333333333334
74,8.780000000000001
75,8.646666666666667
76,8.68
77,8.686666666666666
78,8.76
79,8.78
80,8.726666666666667
81,8.766666666666667
82,8.853333333333333
83,8.546666666666667
84,8.5
85,8.606666666666667
86,8.693333333333333
87,8.673333333333334
88,8.6
89,8.673333333333334
90,8.82
91,3.1199999999999997
92,8.76
93,8.673333333333334
94,8.466666666666667
95,8.52
96,8.646666666666667
97,8.706666666666665
98,8.706666666666665
99,8.58
100,8.520000000000001
101,8.659999999999998
102,8.673333333333334
103,8.746666666666664
104,8.786666666666667
105,8.726666666666667
106,8.633333333333333
107,8.486666666666666
108,8.520000000000001
109,8.633333333333333
110,8.746666666666668
111,8.7
112,8.626666666666667
113,8.74
114,8.366666666666667
115,8.693333333333333
116,8.706666666666667
117,8.639999999999999
118,8.7
119,8.700000000000001
120,8.646666666666667
121,8.719999999999999
122,8.733333333333334
123,8.56
124,8.686666666666666
125,8.6
126,8.540000000000001
127,8.266666666666667
128,8.46
129,8.493333333333334
130,8.54
131,8.526666666666666
132,8.593333333333332
133,8.466666666666667
134,8.466666666666667
135,8.506666666666668
136,8.5
137,8.340000000000002
138,8.4
139,8.413333333333334
140,8.446666666666667
141,8.613333333333333
142,8.506666666666666
143,8.613333333333333
144,8.393333333333333
145,8.653333333333334
146,8.46
147,8.406666666666666
148,8.373333333333335
149,8.58
150,8.593333333333334
151,8.639999999999999
152,8.62
153,8.72
154,8.479999999999999
155,8.56
156,8.38
157,8.553333333333333
158,8.54
159,8.606666666666667
160,8.526666666666666
161,8.706666666666665
162,8.526666666666666
163,8.56
164,8.533333333333333
165,8.613333333333335
166,8.54
167,8.713333333333333
168,8.64
169,8.773333333333333
170,8.346666666666668
171,8.593333333333332
172,8.4
173,8.393333333333333
174,8.32
175,8.453333333333333
176,8.4
177,8.426666666666668
178,8.453333333333335
179,8.433333333333335
180,8.48
181,8.52
182,8.479999999999999
183,8.493333333333334
184,8.42
185,8.426666666666666
186,8.5
187,8.553333333333333
188,8.520000000000001
189,8.446666666666667
190,8.5
191,8.299999999999999
192,8.413333333333332
193,8.326666666666668
194,8.353333333333333
195,8.426666666666668
196,8.34
197,8.246666666666668
198,8.373333333333333
199,8.453333333333333
200,8.366666666666665
201,8.413333333333334
202,8.466666666666667
203,8.533333333333333
204,8.406666666666666
205,8.493333333333332
206,8.493333333333332
207,8.346666666666666
208,8.5
209,8.22
210,8.266666666666666
211,8.386666666666667
212,8.340000000000002
213,8.566666666666665
214,8.406666666666666
215,8.5
216,8.333333333333334
217,8.333333333333334
218,8.493333333333334
219,8.459999999999999
220,8.4
221,8.479999999999999
222,8.5
223,8.433333333333334
224,8.653333333333334
225,8.433333333333332
226,8.486666666666666
227,8.54
228,8.493333333333334
229,8.513333333333334
230,8.533333333333333
231,8.513333333333334
232,8.426666666666668
233,8.46
234,8.513333333333334
235,8.566666666666666
236,8.546666666666667
237,8.646666666666667
238,8.493333333333334
239,8.493333333333334
240,8.493333333333334
241,8.58
242,8.520000000000001
243,8.433333333333332
244,8.406666666666668
245,8.553333333333333
246,8.373333333333333
247,8.480000000000002
248,8.52
249,8.479999999999999
250,8.479999999999999
251,8.386666666666667
252,8.486666666666666
253,8.6
254,8.58
255,8.520000000000001
256,8.473333333333334
257,8.626666666666667
258,8.506666666666666
259,8.493333333333334
260,8.666666666666666
261,8.64
262,8.58
263,8.58
264,8.28
265,8.473333333333334
266,8.213333333333333
